Pma,Pos#,Description
800,4005513,1/2X4X8 MDF
800,7065700,5.2MM LAUAN INTERIOR
800,7363150,3/4 4X8 MDF EXT GRADE
,,
801,3096600,3/4X4X8 BIRCH C2
801,6683700,1/4X4X8 BIRCH C2
801,7474800,1/2X4X8 BIRCH
,,
901,75400,19/32X4X8 SYP T111 4  OC
901,75800,19/32X4X8 SYP T111 8  OC
901,7493500,11/32X4X8  AROUCO PLYBEAD
,,
904,1450272,4/4X4X16 MIRATEC
904,1450472,4/4X6X16 MIRATEC
904,1450572,5/4X4X16 MIRATEC
904,1450772,5/4X6X16 MIRATEC
904,1450872,5/4X8X16 MIRATEC
904,1451072,5/4X12X16 MIRATEC
904,1451172,4/4X12X16 MIRATEC
904,1451272,4/4X8X16 MIRATEC
904,1451372,4/4X10X16 MIRATEC
,,
908,1234100,5/4X4X12 SMTH SEFTRIM HZ10
908,1234200,5/4X6X12 SMTH SEFTRIM HZ10
908,1234300,5/4X8X12 SMTH SEFTRIM HZ10
908,1234400,5/4X12X12 SMTH SEFTRM HZ10
908,1580300,4/4X4X12 NT3 SMOOTH HZ5
908,1580400,4/4X6X12 NT3 SMTH TRIM HZ5
908,1580500,4/4X8X12 NT3 SMTH TRIM HZ5
908,1580700,4/4X12X12 NT3 SMOOTH HZ5
908,5169300,12 X12 SMTH SOLIDSOFF HZ10
908,6496600,24 X8 SMTH SOLID SOFF HZ10
908,6496700,24 X8 SMTH VENT SOFF HZ10
908,7370001,4/4X4X12 SMTH SEFTRIM HZ10
908,7370003,4/4X8X12 SMTH SEFTRIM HZ10
908,7370004,4/4X12X12 SMTH SEFTRM HZ10
908,7370005,5/4X10X12 SMTH SEFTRM HZ10
908,7370300,7-1/4 X12 SMTH PLANK HZ10
908,7372400,4X8 STUCCO PNL HZ10
908,7372700,4X10 STUCCO PNL HZ10
908,7372900,4'X8' SMOOTH PNL HZ10
908,7373100,4'X10' SMOOTH PNL HZ10
908,7375000,12 X12 SMTH VENT SOFF HZ10
908,7384500,6-1/4X12 SL CDRML PLK HZ10
908,7384700,8-1/4X12 SL CDRML PLK HZ10
908,7386100,6-1/4 X12 SMTH PLANK HZ10
908,7386300,8-1/4X12 SMTH PLANK HZ10
908,7390800,4/4X10X12 SMTH SEFTRM HZ10
908,7391730,8-1/4 X12 SMTH PLANK HZ5
908,8048300,16 X12 SMTH VENT SOFF HZ10
908,8048400,16 X12 SMTH SOLID SOF HZ10
908,8401300,2.5 X12 SMTHHLD BATTE HZ10
,,
911,7369800,3/8X4X8 OSBSMRT PNL 8  OC
911,8120433,7/16X12X16 SM ABTSMRT LAP
,,
921,8047900,12X12 ALLURA SMTH NV SOFF
,,
1100,21500,15# FELT 4SQ
1100,23000,30# FELT 2SQ
1100,90200,90# BLACK MSR
1100,1240800,UNBOXED I&W 1.95SQ
1100,1243510,ICE&WATER QUIK-STICK 2SQ
1100,2171400,CJI 100GSM 10SQ SUL
1100,2232700,OAKRIDGE DESERT TAN
1100,2233000,OAKRIDGE ONYX BLACK
1100,2233400,OAKRIDGE BROWNWOOD
1100,2233600,OAKRIDGE TEAK
1100,2267600,HERITAGE ENGLISH PEWTER
1100,2267700,HERITAGE RUSTIC HICKORY
1100,2276500,HERITAGE RUSTIC BLACK
1100,2276700,HERITAGE OXFORD GREY
1100,2276900,HERITAGE WEATHERWOOD   *
1100,2288000,25 YR FRS TEAK
1100,2288600,25 YR FRS BROWNWOOD
1100,2300800,25YR ELITE RUSTIC CEDAR
1100,2301200,25YR ELITE RUSTIC BLACK
1100,2302000,25YR ELITE RUSTIC HICKORY
1100,2302300,25YR ELITE WEATHER WOOD *
1100,2302700,25YR ELITE OXFORD GREY
1100,2350300,25 YR FRS ESTATE GRAY
1100,2350500,25 YR FRS DRIFTWOOD
1100,2411200,HERITAGE RUSTIC CEDAR
1100,2514800,HIP&RIDGE ENGLISH PEWTER
1100,2613000,25 YR FRS ONYX BLACK
,,
1300,3410100,60# HANDICRETE
1300,3416400,80# HANDICRETE
1300,3424900,80# PREMIUM CONCRETE MIX
1300,3427300,12 X48  HANDIFORM
1300,4670500,50# COMM GRD BLKTP PATCH
1300,6219500,PALLETS-CONCRETE
,,
1302,107246,6  BAR TIES 1000CT
1302,107700,REBAR 1/2 X20' BENDABLE
1302,1044600,1/4X4X6 METAL SHIM
1302,2335500,3/16X4X5 METAL SHIM
1302,3027800,1/8X4X6 METAL SHIM
1302,8013700,ROD CHAIRS #2 3X6/8
1302,8028500,1/4X4X5 METAL SHIM
1302,8028600,1/2X4X5 METAL SHIM
1302,8036500,1/2X4X6 METAL SHIM
,,
1400,11900,48-3/4X9 RED T-PLY
1400,69700,48-3/4X8 RED T-PLY
1400,401101,6 X75' FORTI FLASH PALLET
1400,680150,EZ FLOW FOAM 27OZ
1400,680151,GUN CLEANER
1400,911500,48-3/4X8 RED DRYLNE TSX
1400,3004371,1/2X4X8 ISO RED CI
1400,4007448,6X75 EXTREME MULTIP FLASH
1400,5000955,1-7/8X165 FORTIFIBER TAPE
1400,7014110,1X4X8 OX-IS
1400,7440238,4X75 OX BUTYL FLASH
1400,7440253,OX 6X75 BUTYL FLASH
1400,7446297,9X195 HG MERITAGE
1400,7449706,9X150 DRB BARRICADE PLUS
,,
1401,4009961,1/2X4X9 ISO RED CI F/F
1401,7016200,.55X4X8 FOAM SE
1401,7018900,1X4X8 FOAM S BRD
1401,7348000,1/2X4X8 OX-IS
1401,7348100,1/2X4X9 OX-IS
,,
1402,401032,4 X100' WINDOW FLASHING
1402,406906,6 X75' EZ SEAL FLASHING
1402,543800,5-1/2X25 PW DUL GRD TAPE
1402,1000039,9X150 TYPAR LENNAR SUR CA
1402,1210901,4X75 TYPAR BUTYL FLASHING
1402,1218602,6X75 TYPAR FLEX TAPE
1402,5002180,4 X75' FORTI FLASH BUTYL
1402,5007385,9X150 HOMEGUARD 84 LOGO
1402,5009997,2X165 TYPAR TAPE LENNAR
1402,6538400,4X75 TYPAR AT FLASHING
1402,6538800,6X75 TYPAR AT FLASHING
1402,7312900,10X150 TYPAR PULTE
1402,7313100,1-7/8X165 TAPE PULTE
1402,7313600,6X75 FLEX PULTE
1402,7393400,3-1/2X50 SILL SEALER
1402,7393500,5-1/2X50 SILL SEALER
1402,7393600,7-1/2X50 SILL SEALER
1402,7440206,9X195 HOMEGUARD 84 LOGO
1402,7442700,1-7/8X165 TYPAR TAPE
1402,7446284,10X150 TYPAR
1402,9732400,9X150 BARRICADE PLUS SE
1402,9732500,9X195 BARRICADE HANNAH
1402,9732700,9X195 BARRICADE ARNOLD
1402,9733304,9X195 BARRICADE PETTIS
1402,9733306,9X195 BARRICADE D&S
1402,9901260,4X75 FORTI FLASH BUTYL PLT
,,
1403,3006374,6X75 KS FLEX DR
1403,3006376,1-7/8X165 KS TAPE DR
1403,4008833,10X150 KS VALUE WRAP DR
1403,7262218,4X75 KS BUTYL DR
1403,7262219,6X75 KS BUTYL DR
,,
1407,5943500,1-7/8X165 SEAM&SEAL TAPE
1407,7446127,9X195 BARRICADE CREEKSIDE
1407,7446128,9X195 BARRICADE BLANK #7
1407,7446300,9X195 BARRICADE 84 LOGO
1407,7585400,10X150 BARRICADE PLUS
,,
1410,128060,9X150 PRIME WRAP 84LOGO
1410,128061,9X195 PRIME WRAP 84LOGO
,,
1411,1192300,4 X75 FLASH TAPE TYVEK
1411,1455678,6X125 TYVEK VFFLASH BEAZER
1411,1978100,9X150 TYVEK MERITAGE
1411,2001946,9X75 TYVEK FLEX TOLL
1411,2001947,4X75 TYVEK FLASH TOLL
1411,2010418,10X150 TYVEK TOLL
1411,2899025,6X75 TYVEK FLEX TOLL
1411,2899026,6X125 TYVEK VERSA TOLL
1411,7432800,10X150 HOME TYVEK 84 LOGO
1411,7441600,1-7/8 X165 TYVEK TAPE
1411,7443110,6 X75 FLEXWRAP TYVEK
,,
1413,1009239,9X150 PERMA R 84 LOGO
,,
1500,121026,1  DENSGLAS ULTRA SWL 10'
1500,5840802,5/8  FIRECODE TYPE X 8'
,,
1501,40000,DRYWALL TAPE 250'
1501,45500,DRYWALL TAPE 500'
1501,3000023,PROFORM ALL PURP 5 GAL
1501,6475200,USG PLUS-3 1GAL BKT
,,
1600,108933,D4DL TW4000 WHITE VS
1600,7440267,6 X75' FUSION FLASHING
,,
1601,3071900,12  SOLID VINYL SOFF WHITE
1601,6601100,12  FV VINYL SOFFIT WHITE
,,
1700,6710142,5/8  V J-CHNL EXTFC WHITE
,,
1800,3051500,24X50 WH/WH AL TRIMCOIL
1800,3061900,24X50 WH/BLK TRIMCOIL
1800,6842000,24X50 BRITEWHITE PVC TRIMC
,,
1900,597206,8X20 COPPER FLASH 3OZ
1900,2550800,1-1/2-3  HI-RISE ALL FLASH
1900,2551000,3-4  HI-RISE ALL FLASHING
1900,4494100,14  ALUM TURBINE VENT BRWN
1900,4494300,14  ALUM TURBINE VENT WBRZ
1900,4518000,12  ALUM TURBINE VENT BRWN
1900,4526100,12  ALUM TURBINE VENT BLK
1900,4720300,CONTIN SOFFIT 105 WHITE
1900,4720500,CONTIN SOFFIT 105 BROWN
1900,4738700,ALUM SLANTBACK RF LVR BRN
1900,4738800,ALUM SLANTBACK RF LVR BL
1900,4741800,ALUM SLANTBACK RF LVR WBRZ
1900,4921900,5X7 STEP FLASH MILL
1900,5971904,F5M 1-1/2 BLACK STD DRIP
1900,5989403,12X50 VERSA ALUM FLASHING
1900,6992600,4' SHINGLE OVER RIDGE VENT
1900,7873000,OMNI RIDGE -30' GUNNABLE
,,
1901,622969,11919 1.5 -3  ROOF BOOT
1901,741982,11898 1.25 -1.5  NO-CALK
1901,741985,11890 3  NO-CALK THERMO
1901,826946,ROOF FLASH 4  NO CALK PLST
1901,3082400,1 X10' Z FLASHING
1901,4912600,5X7 PREBENT STEP FLASH
1901,4929800,F4 ECON ALUM DRIP BROWN
1901,4929900,F4 ECON ALUM DRIP WHITE
1901,5512000,14X50 VERSA ALUM FLASHING
1901,5512700,20X50 VERSA ALUM FLASHING
1901,5906600,5/8  Z FLASHING MILL
1901,5973900,10X50 VERSA ALUM FLASHING
1901,6562200,1/2  Z FLASHING WHITE
1901,6562400,5/8  Z FLASHING WHITE
,,
2200,193234,12' 4291 ASTRO PAN 4-9/16
2200,193237,2X4 ENDS ASTRO PAN PAIR
2200,198818,A276 2/8 IS ADJ MILL SILL
2200,198819,A276 3/0 IS ADJ MILL SILL
2200,824501,DOOR SLEEVE
2200,2425901,FW600 97  STD WTHRSTRP BRZ
2200,2563299,DD225 2/8 CHOC DOOR SWEEP
2200,2563300,DD225 3/0 CHOC DOOR SWEEP
2200,3206301,FW600 81 STD WTHRSTP BEIGE
2200,3206302,FW600 97 STD WTHRSTP BEIGE
2200,3206303,FW825 97  LR WTHRSTP BEIGE
2200,6004094,4-9/16X8/0 LH MERANTI JAMB
2200,6004095,4-9/16X8/0 RH MERANTI JAMB
,,
2201,165305,#4916SP-30 3/0 JAMSILL
2201,191621,4-9/16X8/0 LH STRK DB TT
2201,191622,4-9/16X8/0 RH STRK DB TT
2201,198820,A276 2/8 IS ADJ BRZ SILL
2201,727061,81  WTHRSTRP BRZ
2201,830219,WS8FB7 8/0 MR WTHRSTRP BRZ
2201,1277500,WSFW7 6/8 SR WTHRSTRP WHT
2201,1277600,WS8FW7 8/0 MR WTHRSTRP WHT
2201,1365200,4-9/16X6/8 LH STRK DB W/WS
2201,1365300,4-9/16X6/8 RH STRK DB W/WS
2201,1365400,4-9/16X3/0 HEAD JAMB W/WS
2201,1365500,4-9/16X2/8 HEAD JAMB W/WS
2201,1646200,12' SILL PAN 4-9/16
2201,1646201,12' SILL PAN 6-9/16
2201,1646202,SILL PAN CORNERS 4-9/16
2201,1646203,SILL PAN CORNERS 6-9/16
2201,2004378,A276 3/0 IS ADJ BRZ SILL
2201,2425902,FW825 97  LR WTHRSTRP BRZ
2201,3206304,FW600 81  STD WTHRSTRP BRZ
2201,4697300,3/0 SC DR SWEEP
2201,5004377,2/8 4-9 Z-ADJ IS SILL MILL
2201,5004378,3/0 4-9 Z-ADJ IS SILL MILL
2201,5004380,2/8 4-9 Z-ADJ IS SILL BRZ
2201,5004381,3/0 4-9 Z-ADJ IS SILL BRZ
2201,5004382,12/0 2  SILL EXTENDER BRZ
2201,5004383,12/0 2  SILL EXTENDER MILL
2201,6487601,WS8FB 8/0 LR WTHRSTRP BRZ
2201,8006403,12/0 4-9 ADJ IS SILL BRZ
2201,8127101,8/0 LR WTHRSTRP BEIGE
,,
2300,546005,2/0 HC CAIMN D/O
2300,546006,2/6 HC CAIMN D/O
2300,723599,2/10 SC COL D/O
2300,724064,2/6 15LT PINE D/O
